ID,number of incoming elements,duration of download (in ms),duration for reloading nodes (in ms),number of reloaded nodes,number of published elements for subject [all],number of published elements for subject [routing],duration for Filtering for subject [routing] (in ms),number of published elements for subject [search],duration for Filtering for subject [search] (in ms)
2022-03-03T19:14:10+01:00,6520,195,5683,4907,11427,1061,7,15,9
2022-03-03T19:15:18+01:00,3033,120,6202,3845,6878,938,8,31,5
2022-03-03T19:16:29+01:00,1430,107,20241,2497,3927,1280,8,30,4
2022-03-03T19:17:28+01:00,1096,93,18590,2803,3899,1606,12,59,3
2022-03-03T19:18:23+01:00,1973,111,4734,2239,4212,2469,11,47,4
2022-03-03T19:19:19+01:00,1248,99,5384,2551,3799,2138,10,20,4
2022-03-03T19:20:26+01:00,1137,181,5822,829,1966,742,14,22,2
2022-03-03T19:21:24+01:00,2078,185,6572,2323,4401,1622,23,48,4
2022-03-03T19:22:25+01:00,2240,121,10519,2052,4292,1454,8,43,3
2022-03-03T19:23:20+01:00,2018,101,4829,1122,3140,1660,10,24,3
2022-03-03T19:24:21+01:00,2498,109,6547,3189,5687,2346,14,66,7
2022-03-03T19:25:19+01:00,712,64,7337,894,1606,783,6,64,4
2022-03-03T19:26:24+01:00,1834,104,4610,4034,5868,1027,9,58,4
2022-03-03T19:27:22+01:00,666,81,6437,1806,2472,1535,10,77,3
2022-03-03T19:28:16+01:00,961,140,3231,1424,2385,865,21,44,2
2022-03-03T19:29:23+01:00,2442,111,6886,1806,4248,1046,6,20,2
2022-03-03T19:30:23+01:00,2769,141,8813,3709,6478,1926,14,886,24
2022-03-03T19:31:24+01:00,2807,137,10023,2392,5199,1145,10,16,5
2022-03-03T19:32:19+01:00,3550,142,4728,4676,8226,1833,9,258,10
2022-03-03T19:33:35+01:00,1404,116,15189,0,1404,183,5,45,1
2022-03-03T19:34:25+01:00,1758,111,8572,4252,6010,3349,14,18,4
2022-03-03T19:35:30+01:00,1828,123,4382,2851,4679,616,6,51,4
2022-03-03T19:36:35+01:00,1458,125,3888,5003,6461,5057,22,47,4
2022-03-03T19:37:40+01:00,4108,167,3897,3814,7922,2903,15,44,6
2022-03-03T19:38:34+01:00,828,72,3211,2556,3384,2154,10,19,3
2022-03-03T19:39:45+01:00,2703,117,10656,973,3676,728,6,18,4
2022-03-03T19:40:41+01:00,2584,133,5330,2337,4921,1574,9,42,4
2022-03-03T19:41:47+01:00,1428,116,15429,0,1428,612,9,52,1
2022-03-03T19:42:32+01:00,2684,146,4147,5985,8669,2819,13,18,6
2022-03-03T19:43:46+01:00,3426,188,12633,1122,4548,2194,24,31,3
2022-03-03T19:44:42+01:00,3712,176,15693,0,3712,1022,10,56,2
2022-03-03T19:45:48+01:00,941,67,15225,0,941,197,3,14,1
2022-03-03T19:46:54+01:00,1405,137,15312,0,1405,209,11,43,0
2022-03-03T19:47:37+01:00,1762,104,2288,3270,5032,1265,10,45,4
2022-03-03T19:48:36+01:00,856,74,7822,1587,2443,971,6,38,4
2022-03-03T19:49:30+01:00,1282,90,3910,2739,4021,2548,13,21,4
2022-03-03T19:50:36+01:00,927,69,5325,911,1838,265,3,3,2
2022-03-03T19:51:36+01:00,2199,109,9317,1915,4114,1313,7,51,4
2022-03-03T19:52:31+01:00,1144,106,3615,3433,4577,1284,10,9,4
2022-03-03T19:53:35+01:00,3385,145,3562,1528,4913,3130,16,33,5
